,matchId,Type,SecondaryType,location,team,opponentTeam,Player,goal,X,Y,C,distance,angle,arc_length,distance_squared,distance_cube,adj_distance,adj_distance_squared,adj_distance_cube
80,5251283,free_kick,['free_kick_cross'],"{'x': 83, 'y': 8}",Udinese,Salernitana,Gerard Deulofeu,0,17.0,8.0,42.0,33.679312641442074,0.11604505024795397,3.908317527792697,1134.2960999999998,38202.31297986844,17.179312641442074,295.12878283241145,5070.109629766259
345,5251283,free_kick,"['free_kick_cross', 'shot_assist']","{'x': 62, 'y': 94}",Salernitana,Udinese,P. Mazzocchi,0,38.0,94.0,44.0,49.87200016041065,0.11751950378286243,5.860932711510295,2487.2164,124042.456699776,33.37200016041065,1113.6903947064484,37166.076030791395
535,5251283,free_kick,['free_kick_cross'],"{'x': 92, 'y': 90}",Salernitana,Udinese,S. Verdi,0,8.0,90.0,40.0,28.467525357852935,0.07699636618601094,2.191896006862797,810.3999999999999,23070.082550004016,11.967525357852935,143.221663190853,1714.0088860304058
1541,5251283,free_kick,"['free_kick_cross', 'shot_assist']","{'x': 91, 'y': 7}",Udinese,Salernitana,L. Samardžić,0,9.0,7.0,43.0,30.72914089264456,0.07417364299385751,2.2792923260789655,944.2801000000001,29016.916235020493,14.229140892644558,202.46845054272958,2880.9521090879357
2171,5251287,free_kick,['free_kick_cross'],"{'x': 95, 'y': 6}",Cagliari,Venezia,C. Lykogiannis,0,5.0,6.0,44.0,30.377111449247444,0.042234742480408205,1.2829694793576254,922.7689000000001,28031.053717199473,13.877111449247444,192.5742221748345,2672.3739433723167
3431,5251287,free_kick,['free_kick_cross'],"{'x': 53, 'y': 33}",Cagliari,Venezia,R. Marin,0,47.0,33.0,17.0,50.685857001731755,0.14041950931316854,7.117283169300602,2569.0561,130214.81011402667,34.185857001731755,1168.672818942852,39952.08187019108
3443,5251287,free_kick,['free_kick_cross'],"{'x': 77, 'y': 85}",Cagliari,Venezia,R. Marin,0,23.0,85.0,35.0,33.90667338445339,0.15434057680159347,5.233175527579774,1149.6625,38981.230889854145,17.40667338445339,302.99227831303807,5274.087626606454
3568,5251281,free_kick,['free_kick_cross'],"{'x': 69, 'y': 59}",Internazionale,Sampdoria,H. Çalhanoğlu,0,31.0,59.0,9.0,33.120339672171234,0.21644688236460213,7.1687942648981124,1096.9568999999997,36331.58513373196,16.620339672171234,276.235690818349,4591.131010977832
3708,5251281,free_kick,['free_kick_cross'],"{'x': 93, 'y': 84}",Internazionale,Sampdoria,H. Çalhanoğlu,0,7.0,84.0,34.0,24.260191672779506,0.09327104038687557,2.2627733173051596,588.5569,14278.503204336923,7.760191672779506,60.22057479827638,467.32320307957974
4296,5251281,free_kick,['free_kick_cross'],"{'x': 71, 'y': 14}",Internazionale,Sampdoria,H. Çalhanoğlu,0,29.0,14.0,36.0,39.07010238020884,0.1462597790763645,5.714384542620287,1526.4729000000002,59639.452483614295,22.570102380208837,509.4095214531086,11497.42505264985
