,matchId,Type,SecondaryType,location,team,opponentTeam,Player,goal,X,Y,C,distance,angle,arc_length,distance_squared,distance_cube,adj_distance,adj_distance_squared,adj_distance_cube
4746,5251281,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 74, 'y': 73}",Internazionale,Sampdoria,F. Dimarco,0,26.0,73.0,23.0,31.462669943919256,0.20185724052169685,6.350967734324471,989.8996000000001,31144.884392417698,14.962669943919256,223.88149185066467,3349.8648691137437
7319,5251285,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 78, 'y': 32}",Spezia,Napoli,D. Verde,0,22.0,32.0,18.0,26.14244824036188,0.24720242596578176,6.462476625702339,683.4276,17866.47065903474,9.64244824036188,92.9768080680579,896.5240593503092
9550,5251278,free_kick,"['free_kick_shot', 'shot']","{'x': 75, 'y': 31}",Empoli,Atalanta,N. Bajrami,0,25.0,31.0,19.0,29.257287980945875,0.22421173513044754,6.559827303419063,855.9889,25043.91375579308,12.757287980945875,162.74839662878608,2076.228164230625
12892,5251282,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 67, 'y': 69}",Lazio,Hellas Verona,T. Bašić,0,33.0,69.0,19.0,36.9803853414212,0.18515836465618632,6.847227674173153,1367.5488999999998,50572.48529523667,20.480385341421197,419.44618373310027,8590.419472842448
13105,5251282,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 80, 'y': 50}",Hellas Verona,Lazio,G. Caprari,0,20.0,50.0,0.0,21.0,0.34510504353084737,7.247205914147795,441.0,9261.0,4.5,20.25,91.125
13946,5251280,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 71, 'y': 38}",Genoa,Bologna,Hernani,0,29.0,38.0,12.0,31.524404831812447,0.22355178925957822,7.047337105494965,993.7881,31328.57838143771,15.024404831812447,225.7327405501892,3391.500077820528
14589,5251280,free_kick,"['free_kick_shot', 'shot']","{'x': 86, 'y': 17}",Bologna,Genoa,M. Barrow,0,14.0,17.0,33.0,26.826173786062,0.15119728889655856,4.056044747920502,719.6436,19305.28427762729,10.326173786062,106.62986505995403,1101.0785173934257
15319,5251286,free_kick,"['free_kick_shot', 'shot']","{'x': 75, 'y': 25}",Torino,Roma,S. Lukić,0,25.0,25.0,25.0,31.2739907910711,0.1966145985681355,6.148923145010011,978.0625,30587.917618091975,14.7739907910711,218.27080389465365,3224.730846699299
16686,5251286,free_kick,"['free_kick_shot', 'shot']","{'x': 78, 'y': 55}",Torino,Roma,R. Mandragora,0,22.0,55.0,5.0,23.34887577593405,0.3078667327928565,7.188342099523088,545.17,12729.106606765965,6.848875775934051,46.90709939417625,321.2608967601045
17964,5251272,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 79, 'y': 25}",Lazio,Juventus,D. Cataldi,0,21.0,25.0,25.0,27.84245858396848,0.20878501261759183,5.813088066758637,775.2025000000001,21583.543500438827,11.34245858396848,128.65136672904023,1459.2227988950794
